seed,budget_id,client_id,modal_alpha,modal_frequency,median_alpha,percentile_5,percentile_95,instability
3,false_positive_0p020,Ecobee_Thermostat,0.0007774278625536144,0.392,0.0011643757492860373,0.0007774278625536144,0.001914303317860402,0.608
3,false_positive_0p020,Philips_B120N10_Baby_Monitor,0.012350989524223123,0.11,0.012545893368613602,0.01057371263440564,0.014426999059072134,0.89
3,false_positive_0p020,Provision_PT_737E_Security_Camera,0.014882327366835047,0.124,0.013985601628028964,0.0042750361883424496,0.01633636407288775,0.876
3,false_positive_0p020,Provision_PT_838_Security_Camera,0.009052181499767073,0.064,0.007059833406580807,0.0030509388445493866,0.009936599900604321,0.9359999999999999
3,false_positive_0p020,SimpleHome_XCS7_1002_WHT_Security_Camera,0.02299316489133851,0.1,0.021607725486167025,0.008493734417505864,0.026036233267558315,0.9
3,false_positive_0p020,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.312,0.0007774278625536144,0.0005190713408839703,0.03137236462933982,0.688
3,false_positive_0p020,Samsung_SNH_1011_N_Webcam,0.03041251975124424,0.074,0.020946632040383325,0.012350989524223123,0.03236250302462971,0.926
4,false_positive_0p001,Danmini_Doorbell,0.00020435325068186532,0.392,0.0003060656568188345,0.00020435325068186532,0.0005234337324592672,0.608
4,false_positive_0p001,Ennio_Doorbell,0.0005190713408839703,0.196,0.0006451950121482159,0.000262023564680056,0.0011643757492860373,0.804
4,false_positive_0p001,Ecobee_Thermostat,0.0007774278625536144,0.364,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.636
