dataset_id,seed,budget_id,target_rate,client_id,false_alert_events_per_hour,attacked_stream_events_per_hour,attack_event_recall,attack_event_miss_rate,mean_time_to_detect,median_time_to_detect,percentile_90_time_to_detect,alarm_duty_fraction
gotham,0,false_positive_0p010,0.01,02:42:c5:c1:72:00,0.0,0.040400843911856194,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:cb:b5:ff:00,0.0,0.09078997108702894,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:cc:db:31:00,0.0,0.09057185958285921,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:cd:90:eb:00,0.0,0.040400834754454246,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:d0:94:31:00,0.472227726621155,0.472227726621155,0.0,1.0,0.0,0.0,0.0,0.0004917266498350965
gotham,0,false_positive_0p010,0.01,02:42:da:1c:50:00,0.0,0.08000003003744213,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:de:51:81:00,0.0,0.010090975369746617,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:e8:56:10:00,0.0,0.020184620125068418,1.0,0.0,348.7794919013977,348.7794919013977,348.7794919013977,0.0
gotham,0,false_positive_0p010,0.01,02:42:e9:4b:52:00,0.0,0.02019964467943793,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:eb:2e:72:00,0.0,0.010092108271219322,1.0,0.0,360.9315028190613,360.9315028190613,360.9315028190613,0.0
gotham,0,false_positive_0p010,0.01,02:42:f7:8a:5d:00,0.0,0.03024553579957143,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,02:42:f7:f5:f7:00,0.015088812937947149,0.07167186145524895,1.0,0.0,0.0,0.0,0.0,4.519733640685382e-6
gotham,0,false_positive_0p010,0.01,0c:03:36:87:00:00,0.0037906192804612548,0.0758123856092251,1.0,0.0,0.0,0.0,0.0,4.173054008627899e-6
gotham,0,false_positive_0p010,0.01,0c:6e:9c:16:00:00,0.0,0.10939481280890005,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p010,0.01,0c:bc:fa:c1:00:00,1.380640618518379,1.806903978880611,1.0,0.0,0.0,0.0,0.0,0.000012188763014678591
gotham,0,false_positive_0p010,0.01,0c:c5:dc:e9:00:00,66.90298145749436,66.90298145749436,0.0,1.0,0.0,0.0,0.0,0.003618778534585739
gotham,0,false_positive_0p020,0.02,02:42:08:99:2d:00,0.0,0.020201063460795195,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:0b:0b:d7:00,0.9431769588034294,0.9431769588034294,0.0,1.0,0.0,0.0,0.0,0.000528215849956438
gotham,0,false_positive_0p020,0.02,02:42:20:eb:85:00,0.0,0.030273489000429102,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:2a:62:80:00,0.0,0.03030423915118545,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:2b:40:e0:00,0.0,0.02019988328924068,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:2c:ff:d9:00,0.0,0.030302178269802867,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:2e:ae:e1:00,0.007583599995728492,0.10617039994019889,1.0,0.0,0.0,0.0,0.0,4.96359636084803e-6
gotham,0,false_positive_0p020,0.02,02:42:32:85:24:00,0.0,0.06060891977135001,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:34:89:3a:00,0.0,0.01009105833192443,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:37:46:7f:00,0.0,0.010099650758740718,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:37:ed:4f:00,0.0,0.050501567735698284,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:39:ca:09:00,0.0,0.0201579362773077,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:3a:fa:55:00,0.007544462061530021,0.44889549266103623,1.0,0.0,0.0,0.0,0.0,0.002439629730861368
gotham,0,false_positive_0p020,0.02,02:42:48:92:a3:00,5.1959611300040125,5.1959611300040125,0.0,1.0,0.0,0.0,0.0,0.00041953836079314347
gotham,0,false_positive_0p020,0.02,02:42:51:3c:2f:00,0.0,0.03027690853398887,1.0,0.0,337.97203397750854,337.97203397750854,337.97203397750854,0.0
gotham,0,false_positive_0p020,0.02,02:42:51:78:60:00,0.0,0.07544555826981525,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:52:d7:fa:00,0.0,0.04904034700790266,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:56:ac:61:00,4.727209963464493,4.727209963464493,0.0,1.0,0.0,0.0,0.0,0.0004644527165681749
gotham,0,false_positive_0p020,0.02,02:42:57:79:b7:00,0.0,0.03030211519649032,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p020,0.02,02:42:61:b7:bc:00,0.47160590549370973,0.47160590549370973,0.0,1.0,0.0,0.0,0.0,0.0004536818635556316
gotham,0,false_positive_0p020,0.02,02:42:63:6b:70:00,7.082991507428161,7.082991507428161,0.0,1.0,0.0,0.0,0.0,0.000454187843438446
gotham,0,false_positive_0p020,0.02,02:42:75:96:a3:00,0.9432514872419117,0.9432514872419117,0.0,1.0,0.0,0.0,0.0,0.0003394061021771074
gotham,0,false_positive_0p020,0.02,02:42:78:54:1c:00,0.0,0.01009241011453387,1.0,0.0,341.53757095336914,341.53757095336914,341.53757095336914,0.0
gotham,0,false_positive_0p020,0.02,02:42:7a:77:08:00,0.943273392147605,0.943273392147605,0.0,1.0,0.0,0.0,0.0,0.00042498840957426226
